iter	RMSE
499	0.1819823502
500	0.1819611407
501	0.1819321356
502	0.1819227308
503	0.1818970362
504	0.1818740601
505	0.1818448256
506	0.1818343783
507	0.1818074588
508	0.1817947729
509	0.1817801518
510	0.1817529113
511	0.1817331211
512	0.1817207002
513	0.1816953196
514	0.1816882304
515	0.181667057
516	0.181638995
517	0.1815985608
518	0.1815817098
519	0.1815553242
520	0.1815428773
521	0.1815228125
522	0.1814951059
523	0.1814858334
524	0.1814726479
525	0.1814675585
526	0.1814353652
527	0.1814260199
528	0.1813781104
529	0.1813706085
530	0.1813604751
531	0.1813360114
532	0.1812858507
533	0.1812708464
534	0.1812182853
535	0.1812061086
536	0.1811916462
537	0.1811697949
538	0.1811465152
539	0.1811047786
540	0.1810683792
541	0.1810571106
542	0.1810233481
543	0.1810127978
544	0.180997012
545	0.1809802544
546	0.1809364597
547	0.1809283656
548	0.1808969549
549	0.1808921329
550	0.1808625869
551	0.1808154391
552	0.1807824078
553	0.1807646969
554	0.1807444316
555	0.1807218525
556	0.1806888284
557	0.1806753567
558	0.1806452224
559	0.1806386145
560	0.1805998325
561	0.1805680638
562	0.1805597986
563	0.1805272338
564	0.1805051537
565	0.1804867554
566	0.1804446535
567	0.180431512
568	0.1803978804
569	0.1803636728
570	0.1803421504
571	0.1803159977
572	0.1803049122
573	0.1802650225
574	0.1802263026
575	0.1801896544
576	0.1801625615
577	0.1801473126
578	0.1801147041
579	0.1800949984
580	0.1800728393
581	0.1800631069
582	0.1800273675
583	0.1800185015
584	0.1800078055
585	0.1799806419
586	0.1799645715
587	0.1799504125
588	0.1799202009
589	0.1799004378
590	0.1798813558
591	0.1798623542
592	0.1798464241
593	0.1797983935
594	0.1797892606
595	0.1797605831
596	0.1797224333
597	0.1797006019
598	0.1796839002
599	0.1796598083
600	0.1796498442
601	0.1796182898
602	0.1796075315
603	0.1795664939
604	0.1795491515
605	0.1795228227
606	0.1795028795
607	0.1794730001
608	0.1794527316
609	0.1794379541
610	0.1794181871
611	0.1794090785
612	0.1794025172
613	0.1793762063
614	0.179370545
615	0.1793466698
616	0.1793191691
617	0.179303894
618	0.179282502
619	0.1792624843
620	0.1792440254
621	0.1792239402
622	0.1792178757
623	0.1792071347
624	0.1791782975
625	0.1791620205
626	0.1791342994
627	0.1791039647
628	0.1790930035
629	0.1790763531
630	0.1790630129
631	0.1790496591
632	0.1790186683
633	0.1790068093
634	0.1789707012
635	0.1789592481
636	0.1789487252
637	0.1789416165
638	0.1789209262
639	0.1788976131
640	0.1788557891
641	0.1788265908
642	0.1787939162
643	0.1787618509
644	0.1787395616
645	0.178731569
646	0.1787220605
647	0.1786802463
648	0.178641433
649	0.1786279962
650	0.1786213955
651	0.1785748923
652	0.178565794
653	0.1785527974
654	0.1785361076
655	0.1785001283
656	0.178489231
657	0.1784844158
658	0.1784666207
659	0.1784178876
660	0.1784024431
661	0.1783898971
662	0.1783629496
663	0.1783423324
664	0.178335061
665	0.1783281045
666	0.1782953855
667	0.1782463705
668	0.1782178487
669	0.1782017699
670	0.178162864
671	0.1781453268
672	0.1781383109
673	0.1781218238
674	0.1780965081
675	0.1780847615
676	0.1780685008
677	0.1780487414
678	0.1780320941
679	0.1780147832
680	0.1779937819
681	0.1779767849
682	0.177955707
683	0.1779448344
684	0.177924927
685	0.1779044092
686	0.1778927983
687	0.1778649402
688	0.1778440823
689	0.1778233961
690	0.1777981019
691	0.1777833602
692	0.1777471784
693	0.1777381991
694	0.1777317766
695	0.1777106964
696	0.1777057861
697	0.1776904479
698	0.1776597547
699	0.1776470108
700	0.1776392448
701	0.1776196409
702	0.1776130013
703	0.1776045918
704	0.1775814544
705	0.1775622603
706	0.1775417037
707	0.1775352732
708	0.1775115169
709	0.177492415
710	0.1774801373
711	0.1774478049
712	0.1774356152
713	0.1774051044
714	0.177388328
715	0.1773787787
716	0.1773602399
717	0.177336122
718	0.1773197954
719	0.1773159478
720	0.1772995019
721	0.1772759356
722	0.1772417037
723	0.1772149539
724	0.1772011258
725	0.1771934257
726	0.1771846287
727	0.1771741445
728	0.1771614511
729	0.1771386978
730	0.1771127465
731	0.1770960523
732	0.1770728437
733	0.1770592312
734	0.177046025
735	0.1770075269
736	0.1769724127
737	0.1769634623
738	0.1769436118
739	0.1769221766
740	0.176883617
741	0.1768736193
742	0.1768490974
743	0.1768193401
744	0.1768083808
745	0.1767829779
746	0.1767658856
747	0.1767494989
748	0.1767366447
749	0.176726879
750	0.1767201385
751	0.1767107419
752	0.1766829549
753	0.1766633058
754	0.1766483154
755	0.1766318215
756	0.1766039417
757	0.1765912499
758	0.1765755209
759	0.1765439947
760	0.1765253717
761	0.176495681
762	0.176476504
763	0.1764615184
764	0.1764417445
765	0.1763963132
766	0.176388769
767	0.1763595899
768	0.1763351946
769	0.1763143511
770	0.1762693624
771	0.1762477836
772	0.1762355309
773	0.1762180483
774	0.1761930832
775	0.1761774816
776	0.17613784
777	0.1761216586
778	0.1761028652
779	0.1760902763
780	0.1760663833
781	0.1760512047
782	0.1760430924
783	0.1760131634
784	0.1759817769
785	0.1759587636
786	0.1759499138
787	0.1759352654
788	0.1759198822
789	0.1759021116
790	0.1758765279
791	0.1758539839
792	0.1758476847
793	0.1758337302
794	0.1757990493
795	0.175752677
796	0.1757348054
797	0.1757165266
798	0.1757029495
799	0.1756682752
800	0.1756314182
801	0.1756223685
802	0.1755921182
803	0.1755673665
804	0.1755529517
805	0.1755281596
806	0.1755032425
807	0.1754994338
808	0.17549532
809	0.1754909911
810	0.1754577376
811	0.1754345067
812	0.1754290573
813	0.1754054253
814	0.1753784868
815	0.1753508943
816	0.1753457215
817	0.1753279019
818	0.1753226198
819	0.175283375
820	0.1752728107
821	0.1752581205
822	0.1752389804
823	0.1752324548
824	0.1752039888
825	0.1751784117
826	0.1751595429
827	0.1751322167
828	0.1750960746
829	0.1750760319
830	0.1750430377
831	0.1750279752
832	0.1750250147
833	0.1750153305
834	0.1750037149
835	0.1749454196
836	0.1749384433
837	0.174922458
838	0.1749059317
839	0.1748869616
840	0.1748797274
841	0.1748648522
842	0.1748446774
843	0.1748254742
844	0.174813298
845	0.174792421
846	0.174780484
847	0.1747546828
848	0.1747378916
849	0.1747285735
850	0.1747217946
851	0.174696907
852	0.1746676095
853	0.17465435
854	0.1746365362
855	0.1746036038
856	0.1745574701
857	0.1745385042
858	0.1745247665
859	0.1745115989
860	0.1745005191
861	0.174490002
862	0.1744839131
863	0.1744687275
864	0.1744519312
865	0.1744447903
866	0.1744244293
867	0.1744033131
868	0.1743984107
869	0.1743777621
870	0.1743712941
871	0.1743595069
872	0.1743372793
873	0.1743208645
874	0.1743082264
875	0.1742808646
876	0.1742668726
877	0.1742402776
878	0.1742230655
879	0.1742144588
880	0.1742099155
881	0.1741923855
882	0.1741882713
883	0.174166251
884	0.1741526638
885	0.1741380295
886	0.1741140889
887	0.1740966539
888	0.1740774224
889	0.1740550081
890	0.1740508485
891	0.1740216026
892	0.174000803
893	0.1739877169
894	0.1739742212
895	0.1739476166
896	0.1739343301
897	0.1739187841
898	0.173910573
899	0.1738986307
900	0.1738647679
901	0.1738511837
902	0.1738259752
903	0.173799049
904	0.1737860698
905	0.1737765628
906	0.1737491809
907	0.1737234513
908	0.1737149768
909	0.1736935898
910	0.1736817989
911	0.1736748612
912	0.1736461442
913	0.1736252747
914	0.1736194953
915	0.1735906509
916	0.1735714521
917	0.1735472785
918	0.1735202235
919	0.1735038633
920	0.1734904218
921	0.1734756914
922	0.1734527606
923	0.1734480553
924	0.1734201539
925	0.1734060844
926	0.17339549
927	0.1733776031
928	0.1733412004
929	0.1733286925
930	0.1733050201
931	0.1732714627
932	0.173248338
933	0.1732428959
934	0.1732375311
935	0.1732096712
936	0.1731953077
937	0.1731754838
938	0.1731446687
939	0.1731309791
940	0.1731079077
941	0.1730742998
942	0.1730316446
943	0.1729959335
944	0.1729758299
945	0.1729583034
946	0.172927507
947	0.172913279
948	0.1729000304
949	0.1728788805
950	0.1728427756
951	0.1728262563
952	0.172822805
953	0.1728087953
954	0.1727780111
955	0.1727589662
956	0.1727391283
957	0.1727327967
958	0.1727236855
959	0.1727136211
960	0.1726946694
961	0.1726829653
962	0.1726776201
963	0.1726607456
964	0.1726480989
965	0.1726388185
966	0.1726240225
967	0.1725984723
968	0.1725694315
969	0.172540286
970	0.1724896176
971	0.1724818086
972	0.1724653151
973	0.1724472986
974	0.1724362622
975	0.1724284956
976	0.1724131909
977	0.172393456
978	0.1723842177
979	0.1723729051
980	0.1723543818
981	0.1723259471
982	0.1722904034
983	0.1722853973
984	0.1722668646
985	0.172258866
986	0.1722336765
987	0.1722037046
988	0.1721938029
989	0.1721754028
990	0.1721559168
991	0.1721239645
992	0.1721084975
993	0.1720942964
994	0.1720675143
